21_21kbar xd,21_21kbar yd,21_21kbar xf,21_21kbar yf,22_06kbar xd,22_06kbar yd,22_06kbar xf,22_06kbar yf,25_2kbar xd,25_2kbar yd,25_2kbar xf,25_2kbar yf,24_92kbar xd,24_92kbar yd,24_92kbar xf,24_92kbar yf,26_43kbar xd,26_43kbar yd,26_43kbar xf,26_43kbar yf,24_0kbar xd,24_0kbar yd,24_0kbar xf,24_0kbar yf,23_14kbar xd,23_14kbar yd,23_14kbar xf,23_14kbar yf,26_8kbar xd,26_8kbar yd,26_8kbar xf,26_8kbar yf,20_0kbar xd,20_0kbar yd,20_0kbar xf,20_0kbar yf,27_8kbar xd,27_8kbar yd,27_8kbar xf,27_8kbar yf,23_9kbar xd,23_9kbar yd,23_9kbar xf,23_9kbar yf,x15nv04_1,y15nv04_1,x15nv04_2,y15nv04_2,x15nv04_3,y15nv04_3,x15nv04_4,y15nv04_4,x15nv04_5,y15nv04_5,x15nv04_6,y15nv04_6,x15nv04_7,y15nv04_7,x15nv04_8,y15nv04_8,x16mr05,y16mr05
1.5E-05,0.465311286,2.40E-07,0.930086428,1.5E-05,0.604420538,2.40E-07,0.950941162,0.000035,0.964075782,2.40E-07,0.99781742,0.0011,0.781716751,2.40E-07,0.996847202,0.0011,0.934362909,2.40E-07,0.999204875,0.00011,0.860310807,2.40E-07,0.993781886,0.000035,0.80449746,2.40E-07,0.984327631,0.0011,0.977775206,2.40E-07,0.999536354,1.40E-06,0.213289156,2.40E-07,0.689647807,0.00011,0.961445899,2.40E-07,0.999792052,1.60E-06,1.119752364,2.40E-07,0.999270725,7.00E-04,9.91E-01,0.0007,0.987491379,0.0007,0.993520819,0.0007,0.995461117,0.0007,0.994433946,0.0007,0.993909932,0.0007,0.994272311,0.0007,0.99643907,1.60E-06,5.41E-01
2E-05,0.4011209,2.62E-07,0.926911909,2E-05,0.539921853,2.62E-07,0.948710209,4E-05,0.960632998,2.62E-07,0.997718018,0.0012,0.770223018,2.62E-07,0.996703614,0.0012,0.93217384,2.62E-07,0.999168663,0.00012,0.85395834,2.62E-07,0.993498701,4E-05,0.796870241,2.62E-07,0.983613974,0.0012,0.978381581,2.62E-07,0.999515238,1.60E-06,0.323329819,2.62E-07,0.676330892,0.00012,0.986303093,2.62E-07,0.999782581,2.00E-06,1.093559035,2.62E-07,0.999237512,7.50E-04,1.00E+00,0.00075,0.998363534,0.00075,1,0.00075,0.999669566,0.00075,0.998720922,0.00075,0.998650803,0.00075,0.997556032,0.00075,0.997775652,2.00E-06,7.29E-01
2.5E-05,0.344902096,2.86E-07,0.92359416,2.5E-05,0.491547839,2.86E-07,0.946378124,4.5E-05,0.955120676,2.86E-07,0.99761409,0.0013,0.758397059,2.86E-07,0.996553487,0.0013,0.930076392,2.86E-07,0.999130801,0.00013,0.845273837,2.86E-07,0.993202619,4.5E-05,0.785162204,2.86E-07,0.982867831,0.0013,0.975216843,2.86E-07,0.999493161,2.00E-06,0.235943333,2.86E-07,0.662518441,0.00013,0.992729273,2.86E-07,0.999772679,2.40E-06,1.098924589,2.86E-07,0.999202786,8.00E-04,9.97E-01,0.0008,0.997949715,0.0008,0.995493018,0.0008,0.997448312,0.0008,0.993699507,0.0008,0.994644725,0.0008,0.994023281,0.0008,0.995299769,2.40E-06,5.52E-01
3E-05,0.302906952,3.12E-07,0.920126848,3E-05,0.459298497,3.12E-07,0.943940366,5E-05,0.955827849,3.12E-07,0.997505428,0.0014,0.750320971,3.12E-07,0.996396523,0.0014,0.927798975,3.12E-07,0.999091215,0.00014,0.840973562,3.12E-07,0.992893053,5E-05,0.768485276,3.12E-07,0.982087724,0.0014,0.97502504,3.12E-07,0.999470077,2.40E-06,0.229301661,3.12E-07,0.648202492,0.00015,0.993662625,3.12E-07,0.999762326,5.00E-06,0.980145247,3.12E-07,0.999166478,8.50E-04,9.87E-01,0.00085,0.987460029,0.00085,0.989317252,0.00085,0.993363776,0.00085,0.995700646,0.00085,0.995429335,0.00085,0.995801239,0.00085,0.99677938,5.00E-06,6.25E-01
0.000035,0.265292251,3.40E-07,0.916503379,0.000035,0.427049154,3.40E-07,0.941392199,5.5E-05,0.961638755,3.40E-07,0.997391818,0.0015,0.741152821,3.40E-07,0.99623241,0.0015,0.926223434,3.40E-07,0.999049826,0.00015,0.831356244,3.40E-07,0.992569391,5.5E-05,0.760836444,3.40E-07,0.98127211,0.0015,0.966737582,3.40E-07,0.999445943,5.00E-06,0.142107068,3.40E-07,0.633376534,0.00016,0.984565128,3.40E-07,0.999751502,1.00E-05,0.958429256,3.40E-07,0.999128517,9.50E-04,9.84E-01,0.00095,0.983083579,0.00095,0.99281285,0.00095,0.994189862,0.00095,0.997161271,0.00095,0.997035918,0.00095,0.996270342,0.00095,0.997257788,1.00E-05,5.75E-01
4E-05,0.231676434,3.72E-07,0.912716885,4E-05,0.410924483,3.72E-07,0.938728681,6E-05,0.952456387,3.72E-07,0.997273033,0.0016,0.731668612,3.72E-07,0.996060824,0.0016,0.924235602,3.72E-07,0.999006552,0.00016,0.832167793,3.72E-07,0.992230989,6E-05,0.746760865,3.72E-07,0.980419373,0.0017,0.965060311,3.72E-07,0.99942071,1.00E-05,0.050829393,3.72E-07,0.618035772,0.00017,1.001633663,3.72E-07,0.999740184,1.5E-05,0.972604469,3.72E-07,0.999088826,1.00E-03,9.89E-01,0.001,0.989623174,0.001,0.993546103,0.001,0.998127538,0.001,0.996109126,0.001,0.996085253,0.001,0.995326345,0.001,0.996966798,1.50E-05,5.76E-01
4.5E-05,0.206550921,4.06E-07,0.908760225,4.5E-05,0.378675141,4.06E-07,0.935944657,0.000065,0.954249101,4.06E-07,0.997148839,0.0017,0.721191362,4.06E-07,0.995881423,0.0017,0.922797492,4.06E-07,0.998961307,0.00017,0.819826657,4.06E-07,0.991877177,0.000065,0.740049227,4.06E-07,0.979527828,0.0018,0.958581988,4.06E-07,0.999394327,1.5E-05,0.031387668,4.06E-07,0.602177422,0.00019,0.9943385,4.06E-07,0.999728351,2E-05,0.965673962,4.06E-07,0.999047329,1.10E-03,1.00E+00,0.0011,0.994488683,0.0011,0.997206051,0.0011,0.994304596,0.0011,0.991978941,0.0011,0.991041331,0.0011,0.992992413,0.0011,0.994510643,2.00E-05,5.60E-01
5E-05,0.1848133,4.43E-07,0.904625967,5E-05,0.346425798,4.43E-07,0.933034752,0.00007,0.947195504,4.43E-07,0.997018988,0.0018,0.713881981,4.43E-07,0.995693851,0.0018,0.920084879,4.43E-07,0.998914001,0.00018,0.823324711,4.43E-07,0.991507254,0.00007,0.721550961,4.43E-07,0.978595709,0.0019,0.958055531,4.43E-07,0.999366742,2E-05,-0.002687767,4.43E-07,0.58580103,0.0002,0.984275467,4.43E-07,0.99971598,2.5E-05,0.957087867,4.43E-07,0.999003941,1.15E-03,9.99E-01,0.00115,0.996501348,0.00115,0.992876061,0.00115,0.994699282,0.00115,0.996265916,0.00115,0.996600023,0.00115,0.995801239,0.00115,0.996853361,2.50E-05,5.50E-01
5.5E-05,0.168275351,4.83E-07,0.900306391,5.5E-05,0.330301127,4.83E-07,0.92999336,0.000075,0.95039652,4.83E-07,0.996883224,0.0019,0.706149436,4.83E-07,0.995497738,0.0019,0.917663488,4.83E-07,0.998864542,0.00019,0.816720384,4.83E-07,0.991120485,0.000075,0.717888638,4.83E-07,0.977621174,0.0021,0.947305611,4.83E-07,0.999337902,2.5E-05,0.018285558,4.83E-07,0.568908823,0.00022,0.990497811,4.83E-07,0.999703044,3E-05,0.966942843,4.83E-07,0.998958577,1.25E-03,9.93E-01,0.00125,0.985422284,0.00125,0.989374143,0.00125,0.994488171,0.00125,0.993117733,0.00125,0.992901147,0.00125,0.990502114,0.00125,0.993371343,3.00E-05,5.34E-01
6E-05,0.147066425,5.27E-07,0.895793471,6E-05,0.314176456,5.27E-07,0.926814641,8E-05,0.943122914,5.27E-07,0.996741277,0.002,0.697706364,5.27E-07,0.995292693,0.002,0.916375896,5.27E-07,0.998812829,0.0002,0.815601007,5.27E-07,0.990716104,8E-05,0.709104172,5.27E-07,0.976602296,0.0022,0.952306456,5.27E-07,0.999307748,3E-05,-0.002691321,5.27E-07,0.551506088,0.00024,0.981829442,5.27E-07,0.99968952,0.000035,0.970344652,5.27E-07,0.998911147,1.35E-03,9.88E-01,0.00135,0.98700232,0.00135,0.99073319,0.00135,0.992735033,0.00135,0.992300773,0.00135,0.991464771,0.00135,0.990814849,0.00135,0.992966916,3.50E-05,5.15E-01
