temp,pressure,logcp,error,TgoverT,PoverPg,NormLog,NormError,Tg,Pg,188.376,,,
219.809,0.6,12.3613475,8.566353028,0.944234221,0.575827589,0.899518082,,207.5511799,1.04E+00,,0.001393802,9.00E-01,
229.791,0.6,10.6660158,8.444000048,0.903217184,0.42818634,0.799303398,,207.5511799,1.40E+00,,0.001393802,7.99E-01,
239.938,0.6,9.17338681,6.86035082,0.865020046,0.336398469,0.711070905,,207.5511799,1.78E+00,,0.001393802,7.11E-01,
249.853,0.6,8.067735704,6.260640262,0.830693167,0.276001205,0.645713502,,207.5511799,2.17E+00,,0.001393802,6.46E-01,
259.867,0.6,7.127932264,5.533837083,0.798682325,0.232117476,0.59015971,,207.5511799,2.58E+00,,0.001393802,5.90E-01,
269.905,0.6,6.298693935,4.497796854,0.76897864,0.199081241,0.541141658,,207.5511799,3.01E+00,,0.001393802,5.41E-01,
279.877,0.6,5.54316568,3.053170986,0.741579979,0.173569849,0.496480767,,207.5511799,3.46E+00,,0.001393802,4.96E-01,
214.698,0.7,14.21859025,9.540689109,0.98077243,0.80974079,1.00930986,,210.5698793,8.64E-01,,0.001430344,1.01E+00,
219.769,0.7,13.05765664,9.455099926,0.958141864,0.672706676,0.940638966,,210.5698793,1.04E+00,,0.001430344,9.41E-01,
224.853,0.7,11.98886057,8.709760146,0.936477962,0.573093693,0.87741814,,210.5698793,1.22E+00,,0.001430344,8.77E-01,
229.805,0.7,11.1227672,8.483924215,0.916298076,0.499366978,0.82618747,,210.5698793,1.40E+00,,0.001430344,8.26E-01,
234.863,0.7,10.33038391,8.134816597,0.896564718,0.440192663,0.779316858,,210.5698793,1.59E+00,,0.001430344,7.79E-01,
239.883,0.7,9.593283175,7.419407727,0.877802426,0.392931701,0.735716289,,210.5698793,1.78E+00,,0.001430344,7.36E-01,
244.845,0.7,8.911464993,6.472547435,0.860012985,0.354484677,0.695385762,,210.5698793,1.97E+00,,0.001430344,6.95E-01,
249.884,0.7,8.413921995,6.85028543,0.842670516,0.321816916,0.665955378,,210.5698793,2.18E+00,,0.001430344,6.66E-01,
254.835,0.7,7.861096442,6.070698109,0.826298896,0.294580147,0.63325495,,210.5698793,2.38E+00,,0.001430344,6.33E-01,
259.842,0.7,7.418836,6.006980535,0.810376611,0.270913464,0.607094609,,210.5698793,2.58E+00,,0.001430344,6.07E-01,
264.901,0.7,6.976575558,5.59582769,0.794900281,0.250188791,0.580934267,,210.5698793,2.80E+00,,0.001430344,5.81E-01,
270.009,0.7,6.534315116,4.874543073,0.779862446,0.231912623,0.554773925,,210.5698793,3.02E+00,,0.001430344,5.55E-01,
274.966,0.7,6.221047302,5.039736922,0.765803333,0.216278723,0.536243683,,210.5698793,3.24E+00,,0.001430344,5.36E-01,
