temp,pressure,logtau,error,source,TgoverT,PoverPg,NormLog,,Tg,Pg,188.376,,,6.10E-05,
199.6023857,0.001,11.78318869,0.355336954,Nagai,0.943924888,0.002734666,0.863317385,,188.4096595,3.66E-01,,0.943924888,2.73E-03,,0.863317385
201.3916501,0.001,11.39794001,-0.059716301,Nagai,0.935538586,0.002365117,0.840210252,,188.4096595,4.23E-01,,0.935538586,2.37E-03,,0.840210252
203.3797217,0.001,11.06340092,0.226217287,Nagai,0.926393536,0.002053713,0.820144669,,188.4096595,4.87E-01,,0.926393536,2.05E-03,,0.820144669
203.5785288,0.001,10.82765597,-1.77842401,Nagai,0.925488855,0.002026875,0.806004737,,188.4096595,4.93E-01,,0.925488855,2.03E-03,,0.806004737
205.3677932,0.001,10.72828939,0.322982205,Nagai,0.917425544,0.001812603,0.800044751,,188.4096595,5.52E-01,,0.917425544,1.81E-03,,0.800044751
207.3558648,0.001,10.39317846,0.249867452,Nagai,0.908629518,0.001620426,0.779944869,,188.4096595,6.17E-01,,0.908629518,1.62E-03,,0.779944869
209.3439364,0.001,10.08288144,0.267259895,Nagai,0.900000558,0.001463679,0.76133332,,188.4096595,6.83E-01,,0.900000558,1.46E-03,,0.76133332
211.332008,0.001,9.747770515,-0.110015086,Nagai,0.891533948,0.001333408,0.741233439,,188.4096595,7.50E-01,,0.891533948,1.33E-03,,0.741233439
212.5248509,0.001,9.49955756,-0.873943869,Nagai,0.886530016,0.001265304,0.726345679,,188.4096595,7.90E-01,,0.886530016,1.27E-03,,0.726345679
222.2664016,0.001,8.283072352,-0.611625928,Nagai,0.847674944,0.000885834,0.653381156,,188.4096595,1.13E+00,,0.847674944,8.86E-04,,0.653381156
226.4413519,0.001,7.935418819,0.494969115,Nagai,0.83204617,0.000781962,0.632528972,,188.4096595,1.28E+00,,0.83204617,7.82E-04,,0.632528972
230.8151093,0.001,7.637380745,1.92188586,Nagai,0.816279576,0.000694896,0.614652712,,188.4096595,1.44E+00,,0.816279576,6.95E-04,,0.614652712
233.5984095,0.001,7.252592699,0.690944928,Nagai,0.806553691,0.000648215,0.591573207,,188.4096595,1.54E+00,,0.806553691,6.48E-04,,0.591573207
233.5984095,0.001,7.116116272,-0.673819339,Nagai,0.806553691,0.000648215,0.58338738,,188.4096595,1.54E+00,,0.806553691,6.48E-04,,0.58338738
236.7793241,0.001,6.954628622,0.540108558,Nagai,0.795718377,0.000601421,0.573701386,,188.4096595,1.66E+00,,0.795718377,6.01E-04,,0.573701386
240.7554672,0.001,6.656615214,0.874172881,Nagai,0.782576868,0.000550918,0.555826605,,188.4096595,1.82E+00,,0.782576868,5.51E-04,,0.555826605
242.7435388,0.001,6.358725135,-0.532767424,Nagai,0.776167557,0.00052844,0.537959222,,188.4096595,1.89E+00,,0.776167557,5.28E-04,,0.537959222
246.5208748,0.001,6.06072406,-0.669716015,Nagai,0.764274667,0.000489982,0.520085181,,188.4096595,2.04E+00,,0.764274667,4.90E-04,,0.520085181
250.4970179,0.001,5.861966234,0.148030442,Nagai,0.752143323,0.000454581,0.508163729,,188.4096595,2.20E+00,,0.752143323,4.55E-04,,0.508163729
253.6779324,0.001,5.650850793,0.154679906,Nagai,0.742712059,0.000429389,0.49550107,,188.4096595,2.33E+00,,0.742712059,4.29E-04,,0.49550107
252.4850895,0.001,5.551669208,-1.61876427,Nagai,0.746220935,0.00043854,0.48955218,,188.4096595,2.28E+00,,0.746220935,4.39E-04,,0.48955218
253.6779324,0.001,5.427525731,-2.078570712,Nagai,0.742712059,0.000429389,0.482106081,,188.4096595,2.33E+00,,0.742712059,4.29E-04,,0.482106081
256.8588469,0.001,5.340479769,-0.934706645,Nagai,0.733514386,0.00040656,0.476885083,,188.4096595,2.46E+00,,0.733514386,4.07E-04,,0.476885083
259.44334,0.001,5.179029118,-0.983636833,Nagai,0.726207346,0.000389534,0.467201307,,188.4096595,2.57E+00,,0.726207346,3.90E-04,,0.467201307
262.6242545,0.001,4.967913676,-1.249633927,Nagai,0.717411497,0.000370229,0.454538648,,188.4096595,2.70E+00,,0.717411497,3.70E-04,,0.454538648
265.2087475,0.001,4.794056078,-1.551404726,Nagai,0.71042023,0.000355739,0.444110707,,188.4096595,2.81E+00,,0.71042023,3.56E-04,,0.444110707
268.5884692,0.001,4.669776938,-0.994252789,Nagai,0.701480819,0.000338224,0.436656471,,188.4096595,2.96E+00,,0.701480819,3.38E-04,,0.436656471
271.7693837,0.001,4.508289289,-0.991655918,Nagai,0.693270364,0.000323061,0.426970476,,188.4096595,3.10E+00,,0.693270364,3.23E-04,,0.426970476
271.7693837,0.001,4.38421981,-2.232350709,Nagai,0.693270364,0.000323061,0.419528815,,188.4096595,3.10E+00,,0.693270364,3.23E-04,,0.419528815
274.3538767,0.001,4.384059482,-0.971057798,Nagai,0.686739556,0.000311585,0.419519199,,188.4096595,3.21E+00,,0.686739556,3.12E-04,,0.419519199
279.5228628,0.001,4.110785971,-1.306112347,Nagai,0.674040247,0.00029063,0.403128312,,188.4096595,3.44E+00,,0.674040247,2.91E-04,,0.403128312
282.9025845,0.001,3.986506832,-1.066965386,Nagai,0.665987763,0.000278199,0.395674076,,188.4096595,3.59E+00,,0.665987763,2.78E-04,,0.395674076
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
