temp,pressure,logtau
188.376,0,14.6573134
191.7113671,0.1,14.6573134
194.9871125,0.2,14.6573134
198.2062806,0.3,14.6573134
201.371666,0.4,14.6573134
204.485841,0.5,14.6573134
207.5511799,0.6,14.6573134
210.5698793,0.7,14.6573134
213.5439765,0.8,14.6573134
216.475365,0.9,14.6573134
219.3658085,1,14.6573134
222.2169527,1.1,14.6573134
225.0303362,1.2,14.6573134
227.8074002,1.3,14.6573134
230.5494966,1.4,14.6573134
233.2578957,1.5,14.6573134
235.9337931,1.6,14.6573134
238.5783152,1.7,14.6573134
241.1925252,1.8,14.6573134
243.7774278,1.9,14.6573134
246.3339733,2,14.6573134
248.863062,2.1,14.6573134
251.3655478,2.2,14.6573134
253.8422412,2.3,14.6573134
256.2939125,2.4,14.6573134
258.7212946,2.5,14.6573134
261.1250852,2.6,14.6573134
263.5059495,2.7,14.6573134
265.8645222,2.8,14.6573134
268.201409,2.9,14.6573134
270.5171891,3,14.6573134
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
