temp,pressure,logtau,error,TgoverT,PoverPg,NormLog,,Tg,Pg,188.376,,,
301.35,1.226,5.462999999,3.650102452,0.749148202,0.274405216,4.90E-01,,225.7558106,4.47E+00,,-6.4137112,4.90E-01,
289.15,1.148,6.12,4.61943548,0.773204214,0.295583628,5.29E-01,,223.5719984,3.88E+00,,-6.4338976,5.29E-01,
284.05,1.115,6.481000001,5.597657332,0.783810354,0.305715144,5.50E-01,,222.6413311,3.65E+00,,-6.442438,5.50E-01,
273.15,0,3.923,-6.146533361,0.689643053,0,4.03E-01,,188.376,3.16E+00,,-6.731,4.03E-01,
273.15,0.173,4.551000001,-2.964579081,0.710629175,0.054813621,4.39E-01,,194.1083592,3.16E+00,,-6.6862276,4.39E-01,
273.15,0.078,4.231,-4.459872495,0.699186576,0.024713656,4.21E-01,,190.9828134,3.16E+00,,-6.7108136,4.21E-01,
273.15,0.14,4.347999998,-4.40114341,0.706676344,0.044357844,4.28E-01,,193.0286435,3.16E+00,,-6.694768,4.28E-01,
273.15,0.257,4.694999999,-3.043240569,0.720588641,0.081428328,4.48E-01,,196.8287873,3.16E+00,,-6.6644884,4.48E-01,
273.15,0.327,4.965000001,-1.619973058,0.728779513,0.10360725,4.63E-01,,199.0661239,3.16E+00,,-6.6463724,4.63E-01,
273.15,0.402,5.152999998,-1.122068878,0.737449911,0.127370381,4.74E-01,,201.4344431,3.16E+00,,-6.6269624,4.74E-01,
273.15,0.967,7.066999999,6.82065076,0.799620667,0.306385965,5.86E-01,,218.4163851,3.16E+00,,-6.4807404,5.86E-01,
273.15,0.498,5.497000002,0.522773038,0.748394815,0.157787188,4.94E-01,,204.4240437,3.16E+00,,-6.6021176,4.94E-01,
273.15,0.61,5.880000001,2.213414111,0.760955935,0.193273463,5.16E-01,,207.8551138,3.16E+00,,-6.573132,5.16E-01,
273.15,0.915,6.840000002,5.659242826,0.794111295,0.289910195,5.72E-01,,216.9115003,3.16E+00,,-6.494198,5.72E-01,
295.65,0,3.055,-5.311703017,0.637158803,0,3.52E-01,,188.376,4.19E+00,,-6.731,3.52E-01,
295.65,0.249,3.688,-2.512726761,0.664878726,0.05940099,3.88E-01,,196.5713953,4.19E+00,,-6.6665588,3.88E-01,
295.65,0.368,3.948,-1.59866387,0.677708214,0.087789415,4.03E-01,,200.3644333,4.19E+00,,-6.6357616,4.03E-01,
295.65,0.493,4.274,-0.121269082,0.690916506,0.117609189,4.22E-01,,204.2694649,4.19E+00,,-6.6034116,4.22E-01,
295.65,0.76,4.771999998,0.964954949,0.718280283,0.181304226,4.50E-01,,212.3595656,4.19E+00,,-6.534312,4.50E-01,
295.65,1.207,5.768999999,3.919798464,0.761799076,0.287939738,5.08E-01,,225.2258967,4.19E+00,,-6.4186284,5.08E-01,
295.65,1.593,6.548,4.84542812,0.797387161,0.3800232,5.53E-01,,235.7475142,4.19E+00,,-6.3187316,5.53E-01,
295.65,1.766,6.878,4.74558305,0.812809171,0.421293767,5.72E-01,,240.3070313,4.19E+00,,-6.2739592,5.72E-01,
295.65,1.981,7.327000002,4.682286892,0.831558834,0.472583779,5.98E-01,,245.8503692,4.19E+00,,-6.2183172,5.98E-01,
295.65,2.264,7.844999998,3.250516146,0.855584487,0.540095747,6.28E-01,,252.9535535,4.19E+00,,-6.1450768,6.28E-01,
295.65,2.465,8.323999998,2.876501478,0.872228748,0.588045944,6.57E-01,,257.8744294,4.19E+00,,-6.093058,6.57E-01,
295.65,2.539,8.478000001,2.411178018,0.878273437,0.60569925,6.66E-01,,259.6615417,4.19E+00,,-6.0739068,6.66E-01,
295.65,2.686,8.810999998,1.584272187,0.890153846,0.640767304,6.85E-01,,263.1739847,4.19E+00,,-6.0358632,6.85E-01,
295.65,2.794,9.110999999,1.378584123,0.898777694,0.666531589,7.03E-01,,265.7236253,4.19E+00,,-6.0079128,7.03E-01,
295.65,2.897,9.281000001,-0.102514881,0.906922416,0.691103083,7.13E-01,,268.1316124,4.19E+00,,-5.9812564,7.13E-01,
295.65,1.127,5.537,2.91724419,0.754203368,0.268855083,4.94E-01,,222.9802257,4.19E+00,,-6.4393324,4.94E-01,
323.15,0,2.26,-4.591131,0.582936717,0,3.05E-01,,188.376,5.57E+00,,-6.731,3.05E-01,
323.15,0.141,2.605,-2.756236636,0.597436036,0.025294517,3.25E-01,,193.0614549,5.57E+00,,-6.6945092,3.25E-01,
323.15,0.271,2.849,-1.782366844,0.610485465,0.048615702,3.39E-01,,197.2783781,5.57E+00,,-6.6608652,3.39E-01,
323.15,0.571,3.368,0.058322507,0.639539307,0.102433822,3.68E-01,,206.6671272,5.57E+00,,-6.5832252,3.68E-01,
323.15,0.702,3.711,2.01931007,0.651801924,0.125934402,3.88E-01,,210.6297918,5.57E+00,,-6.5493224,3.88E-01,
323.15,1.415,4.602000001,2.41483921,0.714707952,0.253842134,4.38E-01,,230.9578746,5.57E+00,,-6.364798,4.38E-01,
323.15,0.495,3.322,0.446398532,0.632311035,0.088799899,3.66E-01,,204.3313111,5.57E+00,,-6.602894,3.66E-01,
323.15,0.895,3.895,1.661839075,0.669440762,0.160557392,3.98E-01,,216.3297822,5.57E+00,,-6.499374,3.98E-01,
323.15,1.928,5.368999998,2.919066968,0.756602442,0.34587112,4.82E-01,,244.4960793,5.57E+00,,-6.2320336,4.82E-01,
323.15,2.194,5.890999999,3.939730243,0.777397908,0.393589854,5.12E-01,,251.2161339,5.57E+00,,-6.1631928,5.12E-01,
348.15,0,1.709,-4.086827175,0.541077122,0,2.73E-01,,188.376,6.94E+00,,-6.731,2.73E-01,
348.15,0.203,2.159,-1.582340652,0.560346104,0.029238623,2.98E-01,,195.0844962,6.94E+00,,-6.6784636,2.98E-01,
348.15,0.97,3.186,1.412708742,0.627611302,0.139711646,3.56E-01,,218.5028746,6.94E+00,,-6.479964,3.56E-01,
348.15,1.712,4.219,4.046610241,0.686180096,0.246583854,4.14E-01,,238.8936005,6.94E+00,,-6.2879344,4.14E-01,
348.15,1.431,3.861,3.535441939,0.664634919,0.206110686,3.94E-01,,231.392647,6.94E+00,,-6.3606572,3.94E-01,
348.15,0.711,2.858,0.597082148,0.605771012,0.102407196,3.37E-01,,210.8991778,6.94E+00,,-6.5469932,3.37E-01,
348.15,1.498,3.918,3.393886552,0.669837858,0.215760872,3.97E-01,,233.2040501,6.94E+00,,-6.3433176,3.97E-01,
348.15,0.127,1.992,-2.513513312,0.553214311,0.018292143,2.89E-01,,192.6015623,6.94E+00,,-6.6981324,2.89E-01,
348.15,0.325,2.325,-1.092407613,0.571600072,0.046810603,3.08E-01,,199.002565,6.94E+00,,-6.64689,3.08E-01,
348.15,0.595,2.682,-0.071507204,0.595717473,0.085699412,3.27E-01,,207.3990382,6.94E+00,,-6.577014,3.27E-01,
348.15,1.916,4.533000002,4.806401217,0.701388358,0.275966509,4.32E-01,,244.1883567,6.94E+00,,-6.2351392,4.32E-01,
348.15,2.159,4.703300001,3.487511078,0.719065614,0.310966437,4.41E-01,,250.3426934,6.94E+00,,-6.1722508,4.41E-01,
348.15,2.611,5.462000001,4.884853317,0.750791586,0.376069183,4.85E-01,,261.3880908,6.94E+00,,-6.0552732,4.85E-01,
348.15,0,1.709,-4.086827175,0.541077122,0,2.73E-01,,188.376,6.94E+00,,-6.731,2.73E-01,
