a,b,,origional (a),data (b),before modification
0.6999524,0.105891722,,0.6999524,3.891472868,0.105891722
0.801880367,0.253399649,,0.801880367,5.72413212,0.253399649
0.863786857,0.321219386,,0.863786857,6.566734075,0.321219386
0.944825894,0.558588463,,0.944825894,9.515840917,0.558588463
