time,1micro,10micro,100micro,1milli,10milli,100milli,1sec,10sec,100sec
0.0000004,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984,0.799999984,0.799999998
0.0000005,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998,0.79999998,0.799999998
0.0000006,0.592654577,0.776356427,0.797603596,0.799760036,0.799976,0.7999976,0.79999976,0.799999976,0.799999998
0.0000007,0.563750472,0.772484333,0.797204894,0.799720049,0.799972,0.7999972,0.79999972,0.799999972,0.799999997
0.0000008,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968,0.799999997
0.0000009,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964,0.799999996
0.000001,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001,0.799996,0.7999996,0.79999996,0.799999996
0.000002,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004,0.799992,0.7999992,0.79999992,0.799999992
0.000003,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009,0.799988,0.7999988,0.79999988,0.799999988
0.000004,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984,0.799999984
0.000005,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998,0.79999998
0.000006,0.039829655,0.592654577,0.776356427,0.797603596,0.799760036,0.799976,0.7999976,0.79999976,0.799999976
0.000007,0.024157907,0.563750472,0.772484333,0.797204894,0.799720049,0.799972,0.7999972,0.79999972,0.799999972
0.000008,0.014652511,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968,0.799999968
0.000009,0.008887197,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964,0.799999964
0.00001,0.005390358,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001,0.799996,0.7999996,0.79999996
0.00002,3.63199E-05,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004,0.799992,0.7999992,0.79999992
0.00003,2.44722E-07,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009,0.799988,0.7999988,0.79999988
0.00004,1.64892E-09,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984,0.79999984
0.00005,1.11104E-11,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998,0.7999998
0.00006,7.4861E-14,0.039829655,0.592654577,0.776356427,0.797603596,0.799760036,0.799976,0.7999976,0.79999976
0.00007,5.04409E-16,0.024157907,0.563750472,0.772484333,0.797204894,0.799720049,0.799972,0.7999972,0.79999972
0.00008,3.39868E-18,0.014652511,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968,0.79999968
0.00009,2.29001E-20,0.008887197,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964,0.79999964
0.0001,1.543E-22,0.005390358,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001,0.799996,0.7999996
0.0002,2.97606E-44,3.63199E-05,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004,0.799992,0.7999992
0.0003,5.74008E-66,2.44722E-07,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009,0.799988,0.7999988
0.0004,1.10712E-87,1.64892E-09,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016,0.799984,0.7999984
0.0005,2.1354E-109,1.11104E-11,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025,0.79998,0.799998
0.0006,4.1186E-131,7.4861E-14,0.039829655,0.592654577,0.776356427,0.797603596,0.799760036,0.799976,0.7999976
0.0007,7.9437E-153,5.04409E-16,0.024157907,0.563750472,0.772484333,0.797204894,0.799720049,0.799972,0.7999972
0.0008,0,3.39868E-18,0.014652511,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001,0.7999968
0.0009,0,2.29001E-20,0.008887197,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001,0.7999964
0.001,0,1.543E-22,0.005390358,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001,0.799996
0.002,0,2.97606E-44,3.63199E-05,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004,0.799992
0.003,0,5.74008E-66,2.44722E-07,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009,0.799988
0.004,0,1.10712E-87,1.64892E-09,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016,0.799984
0.005,0,2.1354E-109,1.11104E-11,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025,0.79998
0.006,0,4.1186E-131,7.4861E-14,0.039829655,0.592654577,0.776356427,0.797603596,0.799760036,0.799976
0.007,0,7.9437E-153,5.04409E-16,0.024157907,0.563750472,0.772484333,0.797204894,0.799720049,0.799972
0.008,0,0,3.39868E-18,0.014652511,0.536256037,0.768631551,0.796806391,0.799680064,0.799968001
0.009,0,0,2.29001E-20,0.008887197,0.510102521,0.764797985,0.796408088,0.799640081,0.799964001
0.01,0,0,1.543E-22,0.005390358,0.485224528,0.76098354,0.796009983,0.7996001,0.799960001
0.02,0,0,2.97606E-44,3.63199E-05,0.294303553,0.723869934,0.792039867,0.7992004,0.799920004
0.03,0,0,5.74008E-66,2.44722E-07,0.178504128,0.688566381,0.788089552,0.7988009,0.799880009
0.04,0,0,1.10712E-87,1.64892E-09,0.108268227,0.654984602,0.784158939,0.798401599,0.799840016
0.05,0,0,2.1354E-109,1.11104E-11,0.065667999,0.623040626,0.78024793,0.798002498,0.799800025
0.06,0,0,4.1186E-131,7.4861E-14,0.039829655,0.592654577,0.776356427,0.797603596,0.799760036
0.07,0,0,7.9437E-153,5.04409E-16,0.024157907,0.563750472,0.772484333,0.797204894,0.799720049
0.08,0,0,0,3.39868E-18,0.014652511,0.536256037,0.768631551,0.796806391,0.799680064
0.09,0,0,0,2.29001E-20,0.008887197,0.510102521,0.764797985,0.796408088,0.799640081
0.1,0,0,0,1.543E-22,0.005390358,0.485224528,0.76098354,0.796009983,0.7996001
0.2,0,0,0,2.97606E-44,3.63199E-05,0.294303553,0.723869934,0.792039867,0.7992004
0.3,0,0,0,5.74008E-66,2.44722E-07,0.178504128,0.688566381,0.788089552,0.7988009
0.4,0,0,0,1.10712E-87,1.64892E-09,0.108268227,0.654984602,0.784158939,0.798401599
0.5,0,0,0,2.1354E-109,1.11104E-11,0.065667999,0.623040626,0.78024793,0.798002498
0.6,0,0,0,4.1186E-131,7.4861E-14,0.039829655,0.592654577,0.776356427,0.797603596
0.7,0,0,0,7.9437E-153,5.04409E-16,0.024157907,0.563750472,0.772484333,0.797204894
0.8,0,0,0,0,3.39868E-18,0.014652511,0.536256037,0.768631551,0.796806391
0.9,0,0,0,0,2.29001E-20,0.008887197,0.510102521,0.764797985,0.796408088
1,0,0,0,0,1.543E-22,0.005390358,0.485224528,0.76098354,0.796009983
2,0,0,0,0,2.97606E-44,3.63199E-05,0.294303553,0.723869934,0.792039867
3,0,0,0,0,5.74008E-66,2.44722E-07,0.178504128,0.688566381,0.788089552
4,0,0,0,0,1.10712E-87,1.64892E-09,0.108268227,0.654984602,0.784158939
5,0,0,0,0,2.1354E-109,1.11104E-11,0.065667999,0.623040626,0.78024793
6,0,0,0,0,4.1186E-131,7.4861E-14,0.039829655,0.592654577,0.776356427
7,0,0,0,0,7.9437E-153,5.04409E-16,0.024157907,0.563750472,0.772484333
8,0,0,0,0,0,3.39868E-18,0.014652511,0.536256037,0.768631551
9,0,0,0,0,0,2.29001E-20,0.008887197,0.510102521,0.764797985
10,0,0,0,0,0,1.543E-22,0.005390358,0.485224528,0.76098354
20,0,0,0,0,0,2.97606E-44,3.63199E-05,0.294303553,0.723869934
30,0,0,0,0,0,5.74008E-66,2.44722E-07,0.178504128,0.688566381
40,0,0,0,0,0,1.10712E-87,1.64892E-09,0.108268227,0.654984602
50,0,0,0,0,0,2.1354E-109,1.11104E-11,0.065667999,0.623040626
60,0,0,0,0,0,4.1186E-131,7.4861E-14,0.039829655,0.592654577
70,0,0,0,0,0,7.9437E-153,5.04409E-16,0.024157907,0.563750472
80,0,0,0,0,0,0,3.39868E-18,0.014652511,0.536256037
90,0,0,0,0,0,0,2.29001E-20,0.008887197,0.510102521
100,0,0,0,0,0,0,1.543E-22,0.005390358,0.485224528
200,0,0,0,0,0,0,2.97606E-44,3.63199E-05,0.294303553
300,0,0,0,0,0,0,5.74008E-66,2.44722E-07,0.178504128
400,0,0,0,0,0,0,1.10712E-87,1.64892E-09,0.108268227
500,0,0,0,0,0,0,2.1354E-109,1.11104E-11,0.065667999
600,0,0,0,0,0,0,4.1186E-131,7.4861E-14,0.039829655
700,0,0,0,0,0,0,7.9437E-153,5.04409E-16,0.024157907
800,0,0,0,0,0,0,0,3.39868E-18,0.014652511
900,0,0,0,0,0,0,0,2.29001E-20,0.008887197
1000,0,0,0,0,0,0,0,1.543E-22,0.005390358
2000,0,0,0,0,0,0,0,2.97606E-44,3.63199E-05
